sentences,labels
 TROCAR  APARELHAR DEMORAR    SERVICO  PRESTAR  FORMAR CORRETAR  PROFISSIONAL ,0
 FUNCIONARIO   ATENCIOSO,1
  COORDENADOR MEDICO  EXCLUIR   TORNAR AACAO  LENTO,2
BOM ATENDIMENTO ,1
PERFEITO,1
  COORDENADOR MEDICO  EXCLUIR      CRIAR   ARQUIVAR   LENTIFICA  SERVICO   ACOES,2
  ATENDER  CONTENTAR ,1
DEMOROU  DIA PARIR  ATENDER   NENHUM JUSTIFICATIVO   TECNICO APRESENTOUSE PARIR  ATENDIMENTO  CHEIRAR  FORTE  CIGARRAR  DEVERIAM ORIENTALO SOBRAR     REALMENTE INCOMODO        OCORRER    TECNICO ,0
 PELAR APOIAR ,1
 ATENDIMENTO  AGIL  ESCLARECEDOR   NAO RESOLUTIVO   MUDANCA IMPLANTAR    CATASTROFICO     INVES   FICAR  AMIGAVEL  TORNOUSE DIFICIL  IMPRECISO    TELA  GC   OUTRO  INFORMACAO NAO APARECER  EX   CONSULTAR  MATRICULAR 9852286     ENCONTRAR  DIFICULDADE  ATUALIZACAO  GC  PRECISO ATUALIZAR CERCAR  500 EMPREGAR      DATAR  REGISTRAR   DEMORAR   PARIR LOCALIZAR   DATAR  REGISTRAR    MATRICULAR    GRUPAR CONTROLO REGISTRAR  NAO APARECER  DATAR    SOLICITAR   REVISTAR  MUDANCA   PARIR REGISTRAR  RETORNAR  SITUACAO ANTERIOR   EXISTIR ALGUM   DEMANDAR  JUSTIFICAR  MUDANCA  DEVER   REALIZAR  FORMAR   USUARIO NAO PERCEBER  MUDANCA     MINIMO AMIGAVEL ,2
ACHO   TIC  CONDICAO   AUXILIAR ATE       ATE  ENCERRAMENTO  CONTRATAR  QUESTAO     ORIENTAR PARIR SEGUIR  PROCEDIMENTO  ALAN  MATERIAIS   OUTRO PESSOA   AJUDAR ,2
TECNICO ATENDER  BOM VONTADE     EDUCACAO  QUALIDADE  CONHECIMENTO TECNICO  PARABEM ,1
 TIC DEVER   MECANISMO  ALIMENTAR     SIMULTANEAMENTE   EMPREGAR   PROGRAMACAO PARIR DESLIGAMENTO PELAR PIDV  DESISTIR    RESCISAO  CONTRATO  TRABALHO D   PROCESSAR      CHAVE D   DESATIVADA        NOTAR     TRABALHAR  CONSEGUIR REATIVAR  CHAVE D     ATE HOJE    ACESSO   IBM  EMULADOR 3270      PRECISO PARIR DESENVOLVER SUAR ATIVIDADES   AGILIDADE    ,2
PODERIA   RESOLVER  RAPIDO  ESTAVAM   CONTATAR   RAMAL    ERRAR ,0
 DEDICACAO  TECNICO PARIR SOLUCIONAR  FALHO    MERECER ELOGIAR ,1
NAO HAVER REPARAR PARIR  MAQUINA     SUBSTITUIR ,2
NAO  CARTUCHO DISPONIVEL PARIR ATENDIMENTO    CONTINUAR  PROBLEMA ATE   AGUARDAR SOLUCAO    OUTRO IMPRESSOR  SOBRECARREGAR D    NECESSITAR  CARTUCHO TAMBEM ,2
MUITA DEMORAR PARIR ATENDER UMAR SOLICITACAO  SIMPLES ,2
ATENDIMENTO NOTAL 1000,1
 DUVIDA NAO  ESCLARECIDO ,2
OTIMO ATENDIMENTO,1
OTIMO ATENDIMENTO ,1
OTIMO ATENDIMENTO ,1
EXCELENTE PROFISSIONAL  ATENDIMENTO,1
 ABERTO  CHAMAR CRIADO   11062015 0957    NUMERO BOTAO TIC  BTN00543472015     ABERTO  CHAMAR BTN00543472015,0
COMPUTADOR  CONDICAO TECNICO PARIR    CONFORMAR INFORMACAO  TECNICO,0
ATENDIMENTO  BOM ,1
SERVICO ATENDER RAPIDO,1
 PROBLEMA  RESOLVER PELAR PROPRIO DOTEC ,0
 PROBLEMA NAO  RESOLVER   RAPAZ   COMPROMETER  TRAZER OUTRO PESSOA PARIR  CONSERTAR  NINGUEM RETORNAR,2
 ATER  COLOCAR PROATIVO  RESOLVER   INCIDENTE ,1
 SOLICITACAO SO NAO  ATENDIDO    SENHA   CONTRATAR  NAO   HORAR  LIGACAO     APOS  ORIENTACAO  ATENDENTE  COMER PROCEDER  INFORMAR   CONTRATAR  REFERIR SENHA  DESBLOQUEAR     ENCAMINHAR   SUPERVISAO  REPASSAR  MIN    ENTREGAR   COLABORADOR  DIA SEGUINTE     AGRADECO   TIC NAO SO  ORIENTACAO COMER PRINCIPALMENTE  TENTATIVO  ESPERAR  CHEGAR  COLABORADOR   PELAR DEMORAR    PREFERIR FINALIZAR  CHAMAR     ,0
 CHAMAR NAO  RESOLVER  NAO ATENDER  PRAZO SOLICITAR  NAO   NENHUM CONTATO   SOLICITANTE ,2
REGISTRO   ELOGIAR  PROFISSIONAL ANDREA  OLIVEIRA CAMPOS  OTIMA  QUALIDADE  ATENDIMENTO ,1
PEDI  RETORNAR  APOIAR  QUANTUM  EXECUCAO  SERVICO  POREM NAO OBTER RETORNAR  NAO  INFORMAR  DIGICOM  HAVER  NAO EXECUCAO  SERVICO  GOSTARIA   RETORNAR QUANTUM   SERVICO   ,2
EXCELENTE ATENDIMENTO PRESTAR PARIR  CHAMAR  ,1
SERVICO REALIZAR  SUCESSO ,1
  IMPRESSORAS JA  IMPRIMIR    COMPUTADOR     TARDAR              ERIKA LIGAR HOJE  MANHA     CONSEGUIR FINALMENTE RESOLVER  PROBLEMA    SO   PERCEBER  MENCIONAR   PROBLEMA       UTILIZACAO  IMPRESSORAS       CONFIGURAR          ERIKA RESOLVER    10 MINUTO    FELIPE  CONTATO COMIGO  DURANTE   50 MINUTO   TAMBEM OUTRO ATENDENTE  CONTATO   ENGENHEIRO FISCAL  NOITE  ROBERTO VASCONCELOS   DURANTE OUTRO 50 MINUTO  NAO CONSEGUIR RESOLVER            PROBLEMA    PARIR CONSEGUIR UMAR SOLUCAO  INFORMATICO    SIMPLES     DIA ATUAIS     DIFICULDADE            CONTATO TELEFONICO INFRUTIFERO     METODO  TENTATIVO  ERRAR   ALEM    CONSULTO  PROCEDIMENTO            VELOCIDADE    REDAR EXTREMAMENTE     LENTO   MODO   GENTE NAO CONSEGUIR ESTABELECER UMAR CONEXAO    BONGAR  PARIR   TECNICO  INFORMATICA ACESSE  COMPUTADOR           MUITA   EMPERRAR    DEPENDENCIA  TIC  NAO  CONSEGUIR ATENDER  DEMANDAR          CONFORME JA MENCIONAR  HAVER 8  10 ANO ATRAS     CONTATO   TIC   RAMAL 881   ATE UMAR  EXPERIENCIA GRATIFICANTE    GENTE APRENDER     INFORMATICA     DIA  HOJE   UMAR  PIORAR    ACONTECER   NECESSIDADE  CONTATO   TIC SIGNIFICAR     PERDA      CANSACO MENTAL    FRUSTRACAO     ALEM     PESSOA  PEDIR  ANTAR     CHAVE  CORREIO          SUGIRO     DIREITO   FORNECER  CHAVE  CORREIO SO    PROBLEMA   SOLUCIONAR       PETROBRAS SO PAGAR   EFETIVAMENTE   RECEBER  MERCADORIA            NECESSARIO TAMBEM   CARATER EMERGENCIAL   ENORME INVESTIMENTO PARIR   VELOCIDADE  TRANSMISSAO    BACIA  SANTOS  PELAR  QUINTUPLICADA  PARIR      EFICIENCIA   HAVER 8  10 ANO ATRAS    PLATAFORMAS FIXAS COMER TAMBEM  FLUTUANTES     RECURSO       INCRIVEL  PARECER   VELOCIDADE  REDAR  INTERNET  INTRANET             AH         CAMINHAR  PEDRAR  PARIR  SOLUCAO  PROBLEMA  IMPRESSORAS        CONFIGURAR  COMBINAR   ERIKA    TECNICOS  SALA  TECNICOS   CONTATO  881 PARIR   CONFIGURACAO  OUTRO IMPRESSORA  JA    INFORMACAO    CAMINHAR  PEDRAR    QUIMICA BIANCA   CONTATO   IMPRESSORA  CONFIGURAR  SO   APROXIMADAMENTE 3  TRES  HORAR  CONTATO TELEFONICO   ATENDENTE  TIC   NAO  DIRETO   ASSUNTO  PARAR PARIR CONSULTAR PROCEDIMENTO  ETC          TENTATIVO  ERRAR          ALGUM  ERRAR   ATENDENTES  TIC  881     MODO      ERIKA   UNICO PROFISSIONAL  CONSEGUIR SOLUCIONAR  VERDADE  PROBLEMA          ESPERAMOS  VARIOS OUTRO ERIKAS PASSAR  TRABALHAR  TIC    EFICIENCIA       TAMBEM  MELHOR TREINAMENTO     PESSOAL  ATER  881    MODO           ATENCIOSAMENTE       JOSE RICARDO,2
   ATENDER  PARABEM PELAR EXCELENTE SERVICO    ,1
EXCELENTE SERVICO  EQUIPAR,1
 ATUACAO  TIC   PAPEL FUNDAMENTAL  RESOLUCAO  PROBLEMA ,0
INFELIZMENTE  REDAR   LENTO  NAO  POSSIVEL CONCLUIR  OPERACAO,0
PERFEITO ATENDIMENTO ,0
 CHAMAR NAO  ATENDER ,2
ATENDIMENTO EXCELENTE,1
OTIMO ATENDIMENTO,1
ABRI  CHAMAR AFIM  CONSERTAR  ERRAR OCASIONAR PELAR PROPRIO TIEXCLUSAO    DOCUMENTO  ARQUIVAMENTO   SOLICITAR  UMAR LIMPEZA  MICRO     LENTAR  ACHO   MAU PROFISSIONALISMO  ATENDENTE APAGAR  ARQUIVO  COMPUTADOR  USUARIO    RESPONDER  NAO   NADO   DOCUMENTO   APAGAR   EXTREMO IMPORTANCIA   FALTO D   IMPLICAR  PROCESSO  GERENCIA ,2
 CHAMAR  DESIGNAR PARIR OUTRO SETOR ,0
 SOLICITACAO NAO  ATENDIDO,2
 RESULTAR   BOM   PROBLEMA  RESOLVER COMPLETAMENTE,1
  REALIZAR   CHAMAR   NECESSARIO  DIP   EMITIR PELAR GERENTE ,0
CONTINUEM ,1
 NAO PEDIR NENHUM AUMENTAR  MICRO     PEDIR  SEGUIR ORIENTACAO   AGILIDADE     VERIFICAR   MICRO  ESPACAR LIVRAR PARIR RECEBER  PENTE  MEMORIA        PEDIR DEMASIADAMENTE SIMPLES   DIFICULDADE PARIR ATENDELO         IMENSO   COMECAR PELAR ENTENDIMENTO    EXATAMENTE   USUARIO  SOLICITAR     ASSUSTAME  FATO  PEDIR TAO SIMPLES  DEMORAR QUASE UMAR SEMANA PARIR  ATENDER           APROVEITANDO  OCASIAO  GOSTAR    NAO   NOTO   NIVEL  SATISFACAO   ATENDIMENTO ,2
 ATENDIMENTO  REALIZAR  FORMAR RAPIDO  OBJETIVA  PARABENS   ATENDENTE   ,1
CONGRATULO  TECNICO CHARLEI PELAR DEDICACAO  RESOLUCAO  PROBLEMA OBJETO  SOLICITACAO,1
PARABENS   MAURICIO     PACIENCIA   VONTADE  RESOLVER  PROBLEMA  ACESSO   HAREM       EDUCAR  COMPETENTE     ,1
 FUNCIONARIO LUIS  ATENCIOSO  RESOLVER PRONTAMENTE  SOLICITACAO ,1
CONGRATULAR  TECNICO CHARLEI  RESPONSAVEL PELAR ATENDIMENTO  PELAR DEDICACAO  PROCURAR  SOLUCAO  PROBLEMA OBJETO   SOLICITACAO,1
OTIMO ,1
 REDAR  LENTO  NAO CONSEGUIR ENTRAR  BB ,2
 SERVICO  SOLICITAR  APROVAR  BOTAO TIC  DEVERIA   RESOLVER PELAR ATENDIMENTO    DEVOLVER ALEGAR MOTIVAR   FORMALISMO     GERAR PERDA      CADEIA  APROVACAO  TRAMITACAO  DEMANDAR  JA  GERAR 4 CHAMAR  NADO RESOLVER ATE   INC000023321067  INC000023320841     INC000023326429  INC00002279721      EXCESSO  FORMALISMO   SOLICITAR EMITIR  DIP PARIR   SERVICO   ATENDER ,2
 CHAMAR  RESOLVER  DATAR  ABERTURA      HOJE   LENTIDAO  EXISTIR ,1
NAO  POSSIVEL RECUPERAR ARQUIVAR  OUTRO MICRO  OUTRO ,0
EXCELENTE ATENDIMENTO  EQUIPE  PARABEM ,1
ATENDIMENTO RAPIDO  EFICIENTE ,1
ATENDIMENTO EFICIENTE  CORDIAL,1
BOM ATENDIMENTO  PRESTATIVIDADE ,1
 BOM PENSAR   SO   INDIA    TRATAR COMPROMETIMENTO,0
  SATISFEITO   ATENDIMENTO PRESTAR PELAR TECNICO ALEXANDRE   RAPIDO  EFICAZ  PRESTATIVO ,1
 GRATO PELAR ATENDIMENTO  ONOFRE,1
SOLICITACAO ATENDIDO  TOTAL AGILIDADE ,1
HOUVE UMAR SOLUCAO  CONTORNAR    APLICATIVO NAO OFERECER UMAR FUNCIONALIDADE PARIR  OPERACAO DESEJAR ,2
OTIMO ATENDIMENTO  ,1
COMPARECIMENTO RAPIDO  TECNICO     DEMONSTRAR PREOCUPACAO   NECESSIDADE  CLIENTE DEVOLVER RAPIDAMENTE  CPU PARIR  ESTACAO  TRABALHAR ,0
OTIMO ATENDIMENTO  ,1
 BOM,1
 ATENDIMENTO PRESTAR PELAR COLABORADOR BRUNO   COMER  COSTUMAR  EXCELENTE ,1
 SITE  BANCO APRESENTAR LENTIDAO  NAO CONECTAR COMPLETAMENTE ,0
 ATENDIMENTO  DIFERENTE  SOLICITAR  NAO HAVER CONTATO PELAR TECNICO PARIR ESCLARECIMENTO   SOLICITACAO  ENCERRAR  OUVIR  CLIENTE   ,2
 BOM ATENDIMENTO ,1
EXCENTE SERVICO   PROFISSIONAL ALEM  EXCELENTE   EDUCAR  PRESTATIVO ,1
 COLABORADOR JOAO RODRIGUES  SANTOS   ATENDER  PRESTEZA ,1
EXCELENTE ,1
OTIMO ATENDIMENTO ,1
PROVAVELMENTE  PROBLEMA   APLICATIVO  BANCO ,0
 ACTIVE X NAO FUNCIONAR ADEQUADAMENTE    CONTRATA ,0
PREZADOS   PROBLEMA NAO  RESOLVER  ALEM D   ANTAR  FINALIZAR  CHAMAR   BOM PRATICO ENTRAR  CONTATO   SOLICITANTE PARIR CONFIRMAR   ATENDIMENTO  REALMENTE EXECUTAR ,2
     ATENDER,1
AGRADECO  AGILIDADE   QUALIDADE  SERVICO PRESTAR ,1
 PELAR ATENDIMENTO ,1
ATENDIMENTO  RAPIDO ,1
 BOM ATENDIMENTO ,1
 ATENDENTE  RAPIDO  EFICIENTE  ATENCIOSO ,1
 ATENDIMENTO   PRESTATIVO  CORDIAL ,1
   CHAMADO  ENCAMINHAR PARIR MESA RESPONSAVEL ,0
COLABORADORA  ATENCIOSO ,1
PESSOAL  ATENCIOSO  ,1
CHAMADO ENCERRAR   CONSENTIMENTO  USUARIO  NAO RESOLVER  DIRECIONADO PARIR  ESCRITORIO    MANDANTE  CHAMAR ,2
EXCELENTE ATENDIMENTO ,1
FUNCIONARIO  EDUCAR  ATENCIOSO  ORGANIZAR ,1
CONTINUI          ,1
SO NAO  NOTO 5 DEVER  DEMORAR PARIR SOLUCAO,0
 ATENDENTE   PRESTATIVO  PACIENTE  EDUCAR  PARABENS ,1
NAO  POSSIVEL COPIAR ARQUIVAR ,0
NAO POSIVEL IMPRIMIR,2
 BOM,1
EXCELENTE  ATENDIMENTO  FUNCIONARIO  TI,1
ATENDIMENTO EXCELENTE   PROATIVO ,1
GOSTEI  ATENDIMENTO   PROBLEMA  RESOLVER  SAMETIME FUNCIONAR ,1
FUNCIONARIO 10 ,1
ATENDIDO    SOLICITACAO,1
PARABENS,1
ATENCIOSO   PRESTATIVO  DEMONSTRAR   CONHECIMENTO    ,1
EXCELENTE SERVICO PRESTAR PELAR COLABORAR BRUNA ,1
ATENDIMENTO  BOM,1
 SATISFAZER,1
 ATENDIMENTO  REALIZAR  FORMAR PACIENTE  CORTEZ DEVER DIAGNOSTICAR COMPLICAR  RESOLVER,1
EXCELENTE TRABALHAR  RAPIDO,1
EXCELENTE ATENDIMENTO  GRATO ,1
ATENDIMENTO  BOM ,1
 MAURICIO   PRESTATIVO  RAPIDO  NOTA 1000 ,1
ACESSO REALIZAR  SUCESSO   ,1
INSTALACAO REALIZAR  SUCESSO   ,1
    SOLUCAO  CLARO  OBJETIVA,0
EXCELENTE TRABALHAR  COLEGA ,1
EXCELENTE ATENDIMENTO ,1
 DEIXAR REGISTRAR  BOM ATENDIMENTO  PRESTEZA  TECNICO  TI  ALVARO   RESOLUCAO  PROBLEMA D  ATENDIMENTO ,1
ESTAO  PARABEM  OTIMO SERVICO   AGILIDADE   ,1
OTIMO ATENDIMENTO ,1
 PENDENTE  ENVIAR  TABELAR  TARIFACAO  LIGACAO  CELULAR    QUANTUM INTERMUNICIPAL  INTERESTADUAL,1
ATENDIMENTO CORDIAL  EFICIENTE ,1
EXCELENTE,1
   ATENDIMENTO  REALIZAR  TESTAR   RESOLVER   INSTANTE  POREM   FINALIZAR  ATENDIMENTO  VIRUS APARECER    HOUVE PERDA  ARQUIVO ,0
   PROBLEMA PARIR   PDA       PROBLEMA ,2
RESSALTO  ATENCAO  PRESTEZA  ATENDIMENTO  OPERADOR ,1
AGRADECO  ATENCAO  EMPREGAR CLAUDIO   ATENDER  FORMAR PRESTATIVO  ATENCIOSO ,1
 BOM  ATENDIMENTO PARABENS,1
OTIMO ATENDIMENTO ,1
 ATENDIMENTO  IMEDIATO  EXTREMAMENTE EFICIENTE ,1
 PELAR PRONTO ATENDIMENTO ,1
CHAMADO ATENDER  PRONTO PELAR ANALISTA LUCAS ,1
BONGAM  PROBLEMA ,0
 QUERER RESOLVER  PROBLEMA PRA  RESOLVER OUTRO  SO   PROBLEMA INICIAL CONTINUAR    PORTAL PETRONECT CONTINUAR   PRECISAR  EXPLORE11 ,0
ATENDIMENTO EXCELENTE,1
ATENDIDO   PRESTEZA  ATENCAO  NOTO 10,1
OTIMO ATENDIMENTO  EXCELENTE PROFISSIONAL ,1
 BOM,1
 PROBLEMA  SOLUCIONAR   PRESTEZA ,1
SOLUCAO RAPIDA EEFICAZ,1
OTIMO ,1
OTIMO ,1
MANTER TREINAMENTO PERMANENTE,0
 DEMANDAR  ATENDIDO  EFICACIA ,1
ATENDIMENTO OTIMO  RESOLUCAO SIMPLES  RAPIDO  EFICIENTE ,1
OTIMO ATENDIMENTO ,1
OTIMO ATENDIMENTO,1
  ATENDER,1
ATENDIMENTO  RAPIDO  PRESTATIVO ,1
RAPIDO  EFICIENTE,1
PESQUISA REPETIR ,0
 EFICIENTE  ATENDIMENTO ,1
EXCELENTE ATENDIMENTO ,1
 ATENDENTE SUPERAR  EXPECTATIVA,1
OTMO ATENDIMENTO ,1
MICRO  ATUALIZADO  DESFRAGMENTADO  FICAR OK ,1
PARABENS PELAR RAPIDO ATENDIMENTO,1
EXELENTE,1
 ATENDIMENTO  IMEDIATO  EXTREMAMENTE EFICIENTE ,0
 BOM ATENDIMENTO  EDUARDO ,1
ATENDIMENTO DEMORAR   SOLUCAO PRATICO ,2
 BOM  ATENDIMENTO  JA HAVER  ANTAR  CHAMAR    SOLICITACAO   TECNICO NAO HAVER CONSEGUIR RESOLVER   RESOLVER  PARABENS,1
 OBRIGAR  DEUS ILUMINAR  TRABALHAR    ENVOLVIDO OK,1
 OBRIGAR  EXCELENTE ATENDIMENTO ,1
APESAR  OTIMO ATENDIMENTO  NAO SOLUCIONAR  PENDENCIA   EMITIR   DIP  APESAR  ACREDITAR    ITEM   ATENDIDO  DIPS ANTERIORMENTE EMITIR,2
 SATISFAZER,1
  DEVER PREVER UMAR FORMAR  ALTERACAO  REGISTRO PELAR USUARIO ,2
EQUIPE OTIMA ,1
 ,1
 ENCAMINHAR PARIR SUPORTAR ESPECIFICO   ENTRAR  CONTATO ,0
 ,1
  SOLICITAR  ATENDIMENTO  TI     ASSISTIR ,1
 ATENDIMENTO FOU  RAPIDO  GOSTEI,1
ATENDIMENTO SOBRAR  DUVIDAR  OTIMO  AGUARDO  CRIACAO ,0
OTIMO ATENDIMENTO   ,1
ATENDIMENTO RAPIDO  EFICIENTE ,1
EXCELENTE ATENDIMENTO,1
PESSIMO ATENDIMENTO  MUITA MAU VONTADE  ATENDIMENTO  RESOLVER   PROBLEMA ,2
ATENDIMENTO  CONTENTAR ,1
OTIMO ATENDIMENTO   ,1
 OK ,0
NAO  POSSIVEL INSTALAR  DRIVER  ADAPTADOR    ATENDENTE  ESCLARECER SOBREIR  INSTALACAO  MENTOR   ATENDER   ,0
ATENDIMENTO PRESTAR  FORMAR EFETIVA ,1
ATENDENTE  SOLICITAR  SIMPATICO ,1
AGRADECO  PACIENCIA  ATENDENTE  ATENDIMENTO ,1
OTIMO ,1
 RAFAEL   EDGAR   ATENDER   PRESTEZA    OTIMOS ,1
 ARQUIVAR INDICAR PARIR RECUPERACAO NAO  ENCONTRAR  LISTA  ARQUIVO RECENTE SALVO,0
 PROBLEMA NAO  RESOLVER    PESSOAL  HP ENTRAR  CONTAQTO COMIGO INFORMAR    LIMPEZA  ARQUIVO   NAO ADIANTAR  PEDIR   VIR  PESSOALMENTE PARIR RESOLVER  PROBLEMA ,0
 ACAO TOMAR PELAR TIAGO  TOTALMENTE EFICAZ ,1
ATENDIMENTO  EFICIENTE,1
ATENDENTE  ATENCIOSO ,1
EXCELENTE ,1
 BOM ,1
ATENDIMENTO RESOLVER IMEDIATAMENTE  EQUIPE  PARABEM  ,1
OTIMO ATENDIMENTO  PARABENS ,1
PARABENS PELAR PRESTEZA  AGILIDADE  FUNCIONARIO ,1
 ,1
 TECNICO INFORMAR   TIC NAO  ATUALIZACAO  DRIVER  IMPRESSORA HP ,2
 DESTACAR  SR  WILLIAN ,0
   ATENDIMENTO   LONGO  CERCAR  60 MINUTO ,0
 ,1
ATENDENTE  ATENCIOSO ,1
ATENDENTE  ATENCIOSO,1
NAO  CAUSAR  ATENDENTE   SINAL   EDUCAR    PROBLEMA INESPERADO ,0
BOM ATENDIMENTO  TOTAL SATISFACAO,1
OPERADOR  ATENDER   PACIENTE  CONSULTORIA ,0
ATENDIMENTO NOTO 10   ,1
 ,1
COMPLETO DESPREPARO PARIR  ATENDIMENTO ,2
 ANALISTA INFORMAR HAVER PROBLEMA  SEGURANCA  INFORMACAO      DIRECIONAR  MENSAGEM PARIR  PROPRIO ENDERECAR EXTERNAR  NAO VIR  PROBLEMA N  ,2
 PROBLEMA   REDAR  PETROBRAS,0
OTIMO ATENDIMENTO RECEBER PELAR TECNICA SYLVIA  ,1
OTIMO ATENDIMENTO RECEBER PELAR TECNICA SYLVIA  ,1
EXCELENTE ,1
EXCELENTE  ,1
NAO MCONSEGUIU INSTALAR  VISUALIZADOR   PROGRAMAR,2
FIQUEI IMPRESSIONAR   RAPIDEZ  ATENDIMENTO    PEDIR      UMAR HORAR ENTRAR   SOLICITACAO   RESPOSTAR  TIC INFORMAR  ATENDIMENTO ,1
 ATENDIMENTO  RECEBER   BOM   ,1
 ,1
 ,1
 CONSULTOR  ATENCIOSO   EQUIPAR  SUPORTAR  QUALIDADE ENTRAR  CONTATO PARIR AVERIGUAR   TESTE CONFIRMAR   PROBLEMA HAVER  RESOLVIDO  PARABENS    ENVOLVIDO   DEDICAR PARIR EQUACIONAR  PROBLEMA ,1
EXCELENTE ATENDIMENTO ,1
  ATENDIDO  PROBLEMA RESOLVIDO  RAPIDO  SATISFATORIO,1
HA 40DIAS   SUCESSO   SITE  BANCO   TRABALHAR EMBARCAR CONTAR   FERRAMENTA ,2
EXCELENTE ATENDIMENTO ,1
OBRIGAR            BOM,1
 BOM,1
 PRESTATIVO  CAPAZ,1
ATENDIMENTO OTIMO,1
OK,0
 ESCLARECIMENTO QNT  OCORRIDO OBG ,1
 SOLICITAR  SERVICO  POREM NAO SOLICITAR NENHUM SERVICO SOBRAR LENTIDAO  MICRO ,2
NAO REPORTAR  DEFEITO    VERIFICAR GRAVACAO  AUDIO  LIGACAO  SERVICO NAO SOLICITAR ,2
 RESOLVIDO CONFORME  SOLICITACAO,1
   QUINTAR   ATENDIMENTO PARIR   PROBLEMA   EXCESSIVAMENTE DEMORAR   NENHUM EFICAZ   DESCRICAO  CHAMAR  OMISSO  NAO  MENCIONAR   VIRUS  ATALHAR  PEN DRIVE     ELIMINAR        MALWARE  AFETANDO QUASE   COMPUTADOR  P09  INVIABILIZAR ATE    MAQUINA FOTOGRAFICO     EMBARCAR  REVEZAR COMPUTADOR   JA NAO  PACIENCIA   PRA PERDER    ENTAO    TRABALHAR N  CONDICAO      COLEGA EMBARCAR  ALIAS   MAQUINA FOTOGRAFICO   PLATAFORMA    NECESSARIO PRA RELATORIO  CAMPAR         ANTIVIRUS NAO RECONHECER  MALWARE     NAO  APRESENTAR SOLUCAO OUTRO  NAO DESEMBARCAR  REINSTALAR  SO   NAO  PARECER ACEITAVEL  JA   POLITICO  TIC   INSTALAR ATUALIZACOES CONSTANTEMENTE   VEZAR DURANTE  TRABALHAR   RESTRINGIR ATE BANALIDADE COMER SALVAR EXTENSAO JPG  SERVIDOR  COMER   ADIANTAR ALGUM        ENTAO  MINIMO   ESPERAR  TIC       UMAR CONFIRMACAO   QUAO INSEGURO   VIRUS   ATE   PERMITIR EXECUCAO REMOTO  CODIGO  FURTAR  INFORMACAO  HARDWARE   PESSOAL  CORPORATIVO  ETC       ABRANGENCIA    OUTRO COMPUTADOR AFETADOS      UMAR DESCRICAO   EVENTO DISPARAR  EXECUCAO  VIRUS         DISPARAR  VIRUS      CLICAR  ATALHO  DISPARAR      APARENTEMENTE  INSERIR  PEN DRIVE JA DISPARAR          NAO AFETA      APARENTEMENTE  DRIVE MAPEADOS  HD         NAO RESOLVER      DESTRUIR  PERFIL  USUARIO  CRIAR OUTRO  NAO RESOLVER   INSERIR  DRIVE USB   RECEM FORMATADO   ALGUM    VIRUS VOLTAR  CRIAR ATALHO   PASTAR  TRASHES     PARAR  ARQUIVO  VERDADE        DEVER  AFETADO     NAO   PERFIL        COMER    USUARIO NAO  ACESSO ADMIN  BRECHA    JA HAVER RELATORIO  JA HAVER ATUALIZACAO     NINGUEM INFORMAR        VIRUS   P09   BELO VEXAME     ESPERO NAO     VOLTAR PRA BASE ,2
OTIMO ATENDIMENTO  ATENDIMENTO  INFORMATIVO ,1
MUITA DEMORAR PARIR SOLUCIONAR  PROBLEMA ,2
EXCELENTE ATENDIMENTO  PARABEM ,1
 CHAMAR  REALIZAR  SUCESSO   APLICATIVO FUNCIONAR CORRETAMENTE ,0
OTIMO ATENDIMENTO,1
RESOLVEU  HORAR  INSTALACAO  PROGRAMAR,1
    CHAMAR 881 PARIR  SOLUCAO   PROBLEMA   MEAR   DIA  ROTINA  TRABALHAR  ESPERASE   ATENDIMENTO    RAPIDO POSSIVEL   CASAR   CHAMAR  ANTAR  ENTRAR  CONTATO  TESTAR   PROBLEMA ACONTECER  MAQUINA   CHAVE  OUTRO PESSOA    PROBLEMA  REPETIR      PROBLEMA NAO   ALGUM CONFIGURACAO   SECCAO      MAQUINA   OUTRO CONFIGURACAO PESSOAL  VESTIR    PROBLEMA  AFETANDO   UMAR PESSOA  APESAR D    ATENDENTE     SEGUIR  PROCEDIMENTO  SOLICITAR   REINICIAR  MAQUINA        FECHAR ARQUIVO   ABERTO  CORREIO  PLANILHAS  ETC  PERDER BOM    PARIR REABRILOS  CONTINUAR  TRABALHAR    ANTAR  ABRIR  CHAMAR  FICA UMAR PERGUNTAR   REALMENTE PROCEDIMENTO  ENTAO  REALMENTE NECESSARIO   USUARIO REINICIAR SUAR MAQUINA  ALEGAR  OUTRO USUARIO     PROBLEMA  VALE RESSALTAR  INFORMAR TAMBEM  JA  ENCERRAR  REABERTO  PROGRAMAR  JA   OUTRO NAVEGADOR      ATENDENTE    PELAR PROCEDIMENTO    REINICIAR  NAO SERIAR  CASAR  RESPONSAVEL REVISAR   PROCEDIMENTO   VESTIR   CONDICAO MENCIONAR   SERIAR INUTIL  PARIR MIM QUANTUM PARIR  OUTRO USUARIO  ACARRETAR  POSTERGACAO    ATENDIMENTO ,0
DESTACO  PRESTEZA   GENTILEZA  PROFISSIONAL  ATENDIMENTO ,1
 COMENTARIO,0
